StartRelativeMSec,Number,Generation,Type,Reason,IsCompacting,SuspensionDurationInMilliSeconds,PauseDurationInMilliSeconds,FinalPauseDurationInMilliSeconds,Gen0Size,Gen1Size,Gen2Size,LOHSize,ObjGen0Before,ObjGen1Before,ObjGen2Before,ObjLOHBefore,ObjGen0After,ObjGen1After,ObjGen2After,ObjLOHAfter
13804.4060388208,55,0,NonConcurrentGC,AllocSmall,False,0.739189939722564,1.03785622518626,0,96,116080,62544,3288008,27706120,89720,61632,3287880,96,116080,0,0
13960.4575319516,56,0,NonConcurrentGC,AllocSmall,False,0.107942882170391,0.394574994959839,0,96,138944,62544,3971904,28332408,116080,61632,3971776,96,138944,0,0
14084.4051344345,57,0,NonConcurrentGC,AllocSmall,False,0.309971114338623,0.615930837786436,0,96,160680,62544,4142680,23763480,138944,61632,4142552,96,160680,0,0
14256.4135758596,58,0,NonConcurrentGC,AllocSmall,False,0.0116695007745875,0.330028068794491,0,96,187176,62544,4656568,27074368,160680,61632,4656440,96,187176,0,0
14399.6913417045,59,0,NonConcurrentGC,AllocSmall,False,2.6249083306011,2.88929545753672,0,96,211824,62544,5170440,24860040,187176,61632,5170312,96,211824,0,0
14537.289342719,60,0,NonConcurrentGC,AllocSmall,False,0.0182335949612025,0.359566492632439,0,96,233808,62544,6283848,25430224,211824,61632,6283720,96,233808,0,0
14709.370718524,61,0,NonConcurrentGC,AllocSmall,False,0.0794984740314248,0.421560715501982,0,96,259848,62544,6883000,28180296,233808,61632,6882872,96,259848,0,0
14852.3571115214,62,0,NonConcurrentGC,AllocSmall,False,0.00948146938026184,8.82578930497584,0,96,282392,62544,7396496,26380400,259848,61632,7396368,96,282392,0,0
15021.5367930243,63,0,NonConcurrentGC,AllocSmall,False,0.0120341726742481,0.39019893216755,0,96,308272,62544,7653432,27791696,282392,61632,7653304,96,308272,0,0
15146.4026393493,64,0,NonConcurrentGC,AllocSmall,False,0.0127635164735693,0.308512426743619,0,96,330256,62544,8676704,23610552,308272,61632,8676576,96,330256,0,0
15318.3159014088,65,0,NonConcurrentGC,AllocSmall,False,0.524398191082582,0.929913343017688,0,96,355928,62544,9701792,29011720,330256,61632,9701664,96,355928,0,0
15475.2550059423,66,0,NonConcurrentGC,AllocSmall,False,0.016774907364379,0.371965337206348,0,96,378712,62544,10302000,28563096,355928,61632,10301872,96,378712,0,0
15616.5522387026,67,0,NonConcurrentGC,AllocSmall,False,0.277150643409186,0.604990680809351,0,96,400728,62544,10815648,25558088,378712,61632,10815520,96,400728,0,0
15773.329064241,69,0,NonConcurrentGC,AllocSmall,False,0,1.11006126123175,0,96,426304,62544,11499144,25963824,400728,61632,11499016,96,426304,0,0
15773.3177594121,68,2,BackgroundGC,AllocSmall,False,0.180877262013382,0.307783082942478,0.135657946510037,1591800,426304,62544,35432,0,0,0,0,0,0,0,0
15912.4112798853,70,1,NonConcurrentGC,AllocSmall,False,0.0076581098837778,0.656409418599651,0,96,19704,62544,633432,24799584,10000,61632,633304,96,19704,61632,633304
16072.4552009689,71,0,NonConcurrentGC,AllocSmall,False,2.20845302168891,2.73321588467115,0,96,42144,62544,1231312,26828208,19704,61632,1231184,96,42144,0,0
16224.0449334127,72,0,NonConcurrentGC,AllocSmall,False,0.0116695007764065,0.362119195928244,0,96,66368,62544,1745096,27648512,42144,61632,1744968,96,66368,0,0
16397.171094209,73,0,NonConcurrentGC,AllocSmall,False,0.713662906779064,1.01524656743641,0,96,92040,62544,2856408,28799576,66368,61632,2856280,96,92040,0,0
16475.5806579483,74,0,NonConcurrentGC,AllocSmall,False,0.00510540659161052,0.262199095541291,0,96,112264,62544,2942160,15799424,92040,61632,2942032,96,112264,0,0
16646.5118585832,75,0,NonConcurrentGC,AllocSmall,False,0.140763353101647,0.861719697863009,0,96,136464,62544,3882768,27598192,112264,61632,3882640,96,136464,0,0
16788.1755866021,76,0,NonConcurrentGC,AllocSmall,False,0.475896828487748,0.750130096701469,0,96,162080,62544,4310160,26333376,136464,61632,4310032,96,162080,0,0
17115.5915105841,78,0,NonConcurrentGC,AllocSmall,False,0.00619942228513537,0.282256049998978,0,96,210256,62544,6189648,25979040,184840,61632,6189520,96,210256,0,0
17273.5053831042,79,0,NonConcurrentGC,AllocSmall,False,0.700899390303675,1.03895024088342,0,96,234304,62544,6446048,26237000,210256,61632,6445920,96,234304,0,0
17443.2255083617,80,0,NonConcurrentGC,AllocSmall,False,0.0696523327533214,0.406609167632269,0,96,261040,62544,6874136,30104032,234304,61632,6874008,96,261040,0,0
17600.5869029546,81,0,NonConcurrentGC,AllocSmall,False,0.0703816765490046,0.370506649611343,0,96,283728,62544,7644888,28064920,261040,61632,7644760,96,283728,0,0
17756.6657464779,82,0,NonConcurrentGC,AllocSmall,False,0.0076581098837778,0.301948332555185,0,96,308344,62544,8415208,28549728,283728,61632,8415080,96,308344,0,0
17802.3430898869,83,2,BackgroundGC,AllocLarge,False,0.0521480815878022,1.2774456629777,0.187441356199997,9058208,308344,62544,3285672,0,0,0,0,0,0,0,0
17912.1312118667,84,1,NonConcurrentGC,AllocSmall,False,0.0105754850774247,0.663702856581949,0,96,20528,62544,3542952,18763104,96,61632,377672,96,20528,61632,377672
18070.1154660634,85,0,NonConcurrentGC,AllocSmall,False,0.138575321707322,0.421925387399824,0,96,45144,62544,3714456,27332048,20528,61632,720416,96,45144,0,0
18242.3554741446,86,0,NonConcurrentGC,AllocSmall,False,2.60703940753956,3.23573376179775,0,96,71776,62544,4397416,28975880,45144,61632,1659992,96,71776,0,0
18383.0316706604,87,0,NonConcurrentGC,AllocSmall,False,0.161549651358655,0.446723076547642,0,96,95080,62544,4740280,24268016,71776,61632,2087968,96,95080,0,0
18537.5187213436,88,0,NonConcurrentGC,AllocSmall,False,0.253811641858192,0.586027742050646,0,96,118024,62544,5082664,28113560,95080,61632,2516176,96,118024,0,0
18693.6807100599,89,0,NonConcurrentGC,AllocSmall,False,0.192911434685811,0.447817092244804,0,96,142824,62544,5679808,27173112,118024,61632,3285040,96,142824,0,0
18858.3213204332,90,0,NonConcurrentGC,AllocSmall,False,0.0258917048449803,0.290278831784235,0,96,165648,62544,6107448,26920192,142824,61632,3969312,96,165648,0,0
18990.7993279826,91,0,NonConcurrentGC,AllocSmall,False,0.00802278178161941,0.326016677903681,0,96,188528,62544,6364216,24320840,165648,61632,4311200,96,188528,0,0
19146.9295902437,92,0,NonConcurrentGC,AllocSmall,False,0.649845324416674,3.4071295544345,0,96,213384,62544,7220408,26729320,188528,61632,5338440,96,213384,0,0
19302.2101669796,93,0,NonConcurrentGC,AllocSmall,False,0.00656409418661497,0.72861445464514,0,96,237424,62544,7476944,26236680,213384,61632,5765528,96,237424,0,0
19460.3253383882,94,0,NonConcurrentGC,AllocSmall,False,0.0102108131759451,0.326746021703002,0,96,261840,62544,8332232,29142368,237424,61632,6620816,96,261840,0,0
